Date,Close,TotalValue,Cash,Holdings
2025-06-20,20.5895,74206.9,2.46952,3604
2025-06-23,22.6318,81567.4,2.46952,3604
2025-06-24,24.8166,89441.5,2.46952,3604
2025-06-25,27.1914,98000.2,2.46952,3604
2025-06-26,28.26,101852,2.46952,3604
2025-06-27,26.9539,97144.3,2.46952,3604
2025-06-30,24.3416,87729.7,87729.7,0
2025-07-01,24.5791,87729.7,87729.7,0
2025-07-02,23.3205,87729.7,87729.7,0
2025-07-03,23.1542,87729.7,87729.7,0
2025-07-04,22.3231,87729.7,87729.7,0
2025-07-07,24.4604,87729.7,14.8169,3586
2025-07-08,24.1042,86452.3,14.8169,3586
2025-07-09,23.7242,85089.7,14.8169,3586
2025-07-10,24.1042,86452.3,14.8169,3586
2025-07-11,23.273,83471.7,83471.7,0
2025-07-14,22.2756,83471.7,83471.7,0
2025-07-15,21.0882,83471.7,83471.7,0
2025-07-16,21.1357,83471.7,83471.7,0
2025-07-17,21.1594,83471.7,83471.7,0
2025-07-18,21.1832,83471.7,83471.7,0
2025-07-21,20.4232,83471.7,83471.7,0
2025-07-22,20.2332,83471.7,83471.7,0
2025-07-23,21.3731,83471.7,9.58875,3905
2025-07-24,20.8982,81617,9.58875,3905
2025-07-25,20.7557,81060.6,9.58875,3905
2025-07-28,20.8269,81338.8,9.58875,3905
2025-07-29,20.7319,80967.8,80967.8,0
2025-07-30,20.8032,80967.8,80967.8,0
2025-07-31,20.8507,80967.8,4.62381,3883
2025-08-04,20.542,79769.1,79769.1,0
2025-08-05,21.1357,79769.1,3.07948,3774
2025-08-06,20.8982,78872.8,3.07948,3774
2025-08-07,21.1357,79769.1,3.07948,3774
2025-08-08,20.9219,78962.4,78962.4,0
2025-08-11,20.6132,78962.4,78962.4,0
2025-08-12,20.4945,78962.4,78962.4,0
2025-08-13,20.3282,78962.4,78962.4,0
2025-08-14,20.2332,78962.4,78962.4,0
2025-08-15,20.3995,78962.4,78962.4,0
2025-08-18,20.162,78962.4,78962.4,0
2025-08-19,19.9245,78962.4,78962.4,0
2025-08-20,19.9483,78962.4,78962.4,0
2025-08-21,19.8533,78962.4,78962.4,0
2025-08-22,19.9245,78962.4,78962.4,0
2025-08-25,19.9245,78962.4,1.57769,3963
2025-08-26,20.067,79527.1,1.57769,3963
2025-08-27,20.2095,80091.8,1.57769,3963
2025-08-28,21.1357,83762.2,1.57769,3963
2025-08-29,23.2492,92138.3,1.57769,3963
2025-09-01,25.529,101173,1.57769,3963
2025-09-02,24.9353,98820.3,1.57769,3963
2025-09-03,24.4604,96938,1.57769,3963
2025-09-04,26.8352,106349,1.57769,3963
2025-09-05,27.1914,107761,1.57769,3963
2025-09-08,28.0226,111055,1.57769,3963
2025-09-09,26.9539,106820,1.57769,3963
2025-09-10,25.7665,102114,102114,0
2025-09-11,24.2229,102114,102114,0
2025-09-12,25.0541,102114,102114,0
2025-09-15,26.1227,102114,0.504087,3909
2025-09-16,25.1728,98401,98401,0
2025-09-17,24.9353,98401,98401,0
2025-09-18,25.1728,98401,98401,0
2025-09-19,24.9353,98401,98401,0
2025-09-22,24.5791,98401,98401,0
2025-09-23,25.2915,98401,16.8886,3890
2025-09-24,24.6978,96091.5,96091.5,0
2025-09-25,24.8166,96091.5,96091.5,0
2025-09-26,24.2229,96091.5,96091.5,0
2025-09-30,23.8667,96091.5,96091.5,0
2025-10-01,23.7479,96091.5,96091.5,0
2025-10-02,22.5605,96091.5,96091.5,0
2025-10-03,23.7242,96091.5,8.56915,4050
2025-10-07,24.4604,99073.1,8.56915,4050
2025-10-08,24.4604,99073.1,8.56915,4050
2025-10-09,24.4604,99073.1,8.56915,4050
2025-10-13,24.4604,99073.1,8.56915,4050
2025-10-14,24.4604,99073.1,99073.1,0
2025-10-15,24.4604,99073.1,99073.1,0
2025-10-16,24.4604,99073.1,99073.1,0
2025-10-17,24.4604,99073.1,99073.1,0
2025-10-20,22.9,99073.1,99073.1,0
2025-10-21,24,99073.1,99073.1,0
2025-10-22,24.5,99073.1,19.5641,4043
2025-10-23,24,97051.6,19.5641,4043
2025-10-27,23.4,94625.8,94625.8,0
2025-10-28,23.4,94625.8,94625.8,0
2025-10-29,23.4,94625.8,94625.8,0
2025-10-30,22.85,94625.8,94625.8,0
2025-10-31,21.2,94625.8,94625.8,0
2025-11-03,20,94625.8,94625.8,0
2025-11-04,18.95,94625.8,94625.8,0
2025-11-05,18.5,94625.8,94625.8,0
2025-11-06,18.5,94625.8,94625.8,0
2025-11-07,20.35,94625.8,18.6107,4649
2025-11-10,22.35,103924,18.6107,4649
2025-11-11,24.55,114152,18.6107,4649
2025-11-12,25.15,116941,18.6107,4649
2025-11-13,25.5,118568,18.6107,4649
2025-11-14,23.95,111362,111362,0
2025-11-17,22.45,111362,111362,0
2025-11-18,21.5,111362,111362,0
2025-11-19,21.6,111362,111362,0
2025-11-20,22.3,111362,111362,0
2025-11-21,21.3,111362,111362,0
2025-11-24,21.3,111362,111362,0
2025-11-25,23.4,111362,1.5661,4759
2025-11-26,23,109459,1.5661,4759
2025-11-27,23.7,112790,1.5661,4759
2025-11-28,23.5,111838,1.5661,4759
2025-12-01,23.7,112790,1.5661,4759
2025-12-02,23.95,113980,1.5661,4759
2025-12-03,24.1,114693,1.5661,4759
2025-12-04,24.1,114693,1.5661,4759
2025-12-05,24.15,114931,1.5661,4759
2025-12-08,24.2,115169,1.5661,4759
2025-12-09,24.1,114693,114693,0
2025-12-10,22.5,114693,114693,0
2025-12-11,22.5,114693,114693,0
2025-12-12,23,114693,114693,0
2025-12-15,22.95,114693,114693,0
2025-12-16,22.5,114693,114693,0
2025-12-17,23.15,114693,8.3698,4954
2025-12-18,22.65,112216,112216,0
2025-12-19,22.75,112216,112216,0
2025-12-22,22.8,112216,17.6717,4921
2025-12-23,22.75,111970,111970,0
2025-12-24,22.7,111970,111970,0
2025-12-26,22.5,111970,111970,0
2025-12-29,22.9,111970,12.3235,4889
2025-12-30,22.6,110504,110504,0
2025-12-31,22.65,110504,110504,0
2026-01-02,22.55,110504,110504,0
2026-01-05,22.4,110504,110504,0
2026-01-06,21.7,110504,110504,0
2026-01-07,21.25,110504,110504,0
2026-01-08,20.7,110504,110504,0
2026-01-09,21.3,110504,110504,0
2026-01-12,20.5,110504,110504,0
2026-01-13,20.35,110504,110504,0
2026-01-14,22.35,110504,5.32351,4944
2026-01-15,24,118661,5.32351,4944
2026-01-16,23.25,114953,5.32351,4944
2026-01-19,22.5,111245,5.32351,4944
2026-01-20,22.2,109762,109762,0
2026-01-21,21.85,109762,109762,0
2026-01-22,22.45,109762,4.07355,4889
2026-01-23,22.15,108295,108295,0
2026-01-26,22.25,108295,4.67169,4867
2026-01-27,21.85,106349,106349,0
2026-01-28,21.85,106349,106349,0
2026-01-29,21.6,106349,106349,0
2026-01-30,21.05,106349,106349,0
2026-02-02,20.6,106349,106349,0
2026-02-03,20.7,106349,106349,0
2026-02-04,21.45,106349,20.9698,4957
2026-02-05,20.9,103622,103622,0
2026-02-06,20.65,103622,103622,0
2026-02-09,20.65,103622,103622,0
2026-02-10,20.6,103622,103622,0
2026-02-11,20.5,103622,103622,0
